ieta = 0, ix = 122, iy = 198, energy density = 0.195167 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.208271
ieta = 0, ix = 121, iy = 197, energy density = 0.122177 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.208182
ieta = 0, ix = 121, iy = 198, energy density = 0.327881 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.125364
ieta = 0, ix = 121, iy = 197, energy density = 0.257586 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.131778
ieta = 0, ix = 122, iy = 199, energy density = 0.263664 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.252749
ieta = 0, ix = 121, iy = 198, energy density = 0.52259 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.427387
ieta = 0, ix = 122, iy = 199, energy density = 0.3366 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.237353
ieta = 0, ix = 120, iy = 200, energy density = 0.105689 GeV/fm^3, shear |pi/(epsilon+3*P)| = 5.28378
ieta = 0, ix = 121, iy = 198, energy density = 0.420885 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.255621
ieta = 0, ix = 122, iy = 199, energy density = 0.247104 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.455705
ieta = 0, ix = 120, iy = 199, energy density = 0.193345 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.156639
ieta = 0, ix = 120, iy = 199, energy density = 0.193345 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.152152
ieta = 0, ix = 120, iy = 199, energy density = 0.193345 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.215872
ieta = 0, ix = 121, iy = 199, energy density = 0.911447 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.112546
ieta = 0, ix = 120, iy = 198, energy density = 0.452777 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.102517
ieta = 0, ix = 120, iy = 198, energy density = 0.452777 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.129302
ieta = 0, ix = 120, iy = 198, energy density = 0.452777 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.144378
ieta = 0, ix = 120, iy = 199, energy density = 0.276654 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.250689
ieta = 0, ix = 120, iy = 197, energy density = 0.130317 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.140678
